abbreviation,replacement
lol,laugh out loud
omg,oh my god
kinda,kind of
goodnight,good night
btw,by the way
cuz,because
lmao,laugh my ass off
nite,night
lil,little
goin,going
ppl,people
bgt,britain's got talent
bday,birthday
congrats,congratulations
wtf,what the fuck
idk,i don't know
thx,thanks
snl,saturday night live
luv,love
dm,direct message
bbq,barbeque
chillin,chilling
jus,just
dunno,don't know
alot,a lot
feelin,feeling
gettin,getting
fml,fuck my life
fav,favorite
hrs,hours
yall,you all
def,definitely
kno,know
vid,video
thru,through
outta,out of
msn,microsoft network
thanx,thanks
doin,doing
bc,because
nah,no
dnt,don't
jk,just kidding
fab,fabulous
ily,i love you
b/c,because
hav,have
2nite,tonight
fave,favorite
nd,and
bf,boyfriend
bb,baby
tix,tickets
workin,working
sux,sucks
uni,university
smh,shaking my head
talkin,talking
lookin,looking
atm,at the moment
abt,about
fuckin,fucking
pls,please
plz,please
watchin,watching
rofl,rolling on floor laughing
comp,computer
havin,having
tgif,thank god it's friday
cali,california
yeh,yes
mornin,morning
gunna,going to
dat,that
imma,i'm going to
yrs,years
comin,coming
msg,message
ty,thank you
ac,air conditioner
asap,as soon as possible
philly,philadelphia
w/o,without
il,i'll
bein,being
2moro,tomorrow
jb,justin bieber
cavs,cleveland cavaliers
atl,atlanta
b-day,birthday
bff,best friend
nkotb,new kids on the block
atleast,at least
hangin,hanging
awsome,awesome
makin,making
waitin,waiting
bk,back
cnt,cannot
goodmorning,good morning
sittin,sitting
sf,san francisco
hr,hour
tis,it is
shoutout,shout out
thankyou,thank you
esp,especially
ftw,for the win
thnx,thanks
appt,appointment
tmrw,tomorrow
dr,doctor
meds,medicine
yeahh,yes
sms,short message service
tht,that
txt,text
ps3,playstation 3
gr8,great
2morrow,tomorrow
vs,versus
nothin,nothing
leavin,leaving
bt,but
wknd,weekend
fyi,for your information
nt,not
lmfao,laughing my fucking ass off
emo,emotional
lolz,laughing out loud
wassup,what's up
pj,pajamas
frm,from
missin,missing
sayin,saying
ep,episode
every1,everyone
chem,chemistry
tryin,trying
diff,different
no1,no one
wana,want to
ol,old
thinkin,thinking
omfg,oh my fucking god
jr,junior
tbh,to be honest
imo,in my opinion
mic,microphone
realy,really
wth,what the hell
vids,videos
wo,without
gon,going to
gonna,going to
wanna,want to
tryna,trying to
gf,girlfriend
pjs,pajamas
deffo,definitely
fasho,for sure
spose,suppose
askin,asking
lovin,loving
wat,what
waht,what
wht,what
wot,what
wut,what
wt,what
wher,where
cya,see you
ova,over
da,the
der,there
den,then
dey,they
dis,this
aswell,as well
ima,i'm going to
ur,your
cos,because
cus,because
tho,though
rite,right
til,until
nxt,next
carnt,can't
wrk,work
wlda,would've
wldn't,wouldn't
wld,would
wud,would
cld,could
cud,could
shld,should
shud,should
wiv,with
wit,with
knw,know
knwn,known
txtin,texting
txting,texting
rly,really
rlly,really
srry,sorry
bak,back
bck,back
gd,good
gnight,good night
arnd,around
thts,that's
pw,password
cn,can
gt,get
yu,you
hav,have
hv,have
hve,have
shw,show
thnks,thanks
morn,morning
hol,holiday
2day,today
2morrows,tomorrow's
2night,tonight
2nyt,tonight
w8,wait
anotha,another
sum,some
sumthin,something
sumthing,something
mgr,manager
ru,are you
bout,about
2,to
4,for
b,be
n,and
r,are
u,you
w,with
wrng,wrong
notin,nothing
guessin,guessing
aswel,as well
jkidding,just kidding
urs,yours
fk,fuck
fck,fuck
